id,code,name,description,category_id,created_at
225,TO_OREGITA_10,Tobillera de niño de oregita,,1,2026-03-27 02:47:18.638386
226,TO_ALTA_10,Tobillera media alta,,1,2026-03-27 02:47:46.531909
227,PA_DIFFER_48,Pantaletas differ,,1,2026-03-27 02:52:22.026537
228,CA_NIÑO_41,Camisa de jugador de niño,,1,2026-03-27 03:06:20.8221
229,CH_SUECAS_90,Chinela suecas,,1,2026-03-27 03:07:08.550807
230,JU_27,Justan,,1,2026-03-27 03:08:26.878246
231,CA_FINO_69,"Camisa de varon cuadro fino ",,1,2026-03-27 03:09:07.504943
232,CA_RAYA_35,Camisa sport de niña raya,,1,2026-03-27 03:09:52.662204
233,ZA_TELA_49,Zapato de media tela,,1,2026-03-27 03:11:29.309936
234,SA_BRILLANTE_66,Sandalia de flor brillante,,1,2026-03-27 03:12:00.023161
235,CO_EDREDON_82,Colcha edredon,,1,2026-03-27 03:14:01.178238
236,FA_JEAN_92,"Falda Jean ",,1,2026-03-27 03:15:16.885434
237,TO_FINA_40,Toalla fina,,1,2026-03-27 03:16:55.620056
238,PA_LIVE_23,Pantalon live,,1,2026-03-27 03:17:43.173803
239,FA_MUJER_39,Fajon de elastico de mujer,,1,2026-03-27 03:21:44.566737
240,TR_JUVENIL_24,Traje de futbol juvenil,,1,2026-03-27 03:26:02.127201
241,SU_89,Sudadera,,1,2026-03-27 03:30:04.729493
242,FA_BRILLANTE_96,Falda liverpool brillante,,1,2026-03-27 03:31:21.947225
243,BA_AZUCARERA_98,"Balde azucarera ",,1,2026-05-02 01:36:40.779664
244,SE_MEDIANAS_89,Set de panas medianas,,1,2026-05-02 01:39:27.362187
245,SE_GRANDES_92,Set de panas grandes,,1,2026-05-02 01:39:39.520946
246,SE_CUADRADAS_96,"Set de panas pequeñas cuadradas ",,1,2026-05-02 01:40:28.917405
247,PA_MELAMINA_37,Panitas soperas de melamina,,1,2026-05-02 01:42:15.265938
248,PL_67,Platos,,1,2026-05-02 01:42:43.998656
249,BA_PEQUEÑOS_33,Baldesitos pequeños,,1,2026-05-02 01:45:35.740893
250,BA_MEDIANO_55,"Balde mediano ",,1,2026-05-02 01:46:11.786723
251,CH_NIÑA_24,Chinelas mobex de niña,,1,2026-05-02 01:54:15.172652
252,ZA_CALCETÍN_88,"Zapatos estilo calcetín ",,1,2026-05-02 01:58:48.308837
253,PA_31,"Pasamontañas ",,1,2026-05-02 02:15:44.988197
254,CA_EXP_33,Calcetín tobillera exp,,1,2026-05-02 02:34:44.750991
255,SH_CAMUFLE_82,Short juvenil camufle,,1,2026-05-02 02:42:03.805641
256,SH_CAMUFLE_41,Short de niño camufle,,1,2026-05-02 02:42:40.041702
257,BL_90_70,Blusa económica 90,,1,2026-05-17 03:12:57.743537
258,BO_MEDIANA_11,Bolsa de regalo mediana,,1,2026-05-17 03:20:21.674068
259,SE_PEQUEÑAS_40,"Set de panas pequeñas ",,1,2026-05-17 03:29:37.045539
260,FA_VUELITO_89,Falda juvenil de vuelito,,1,2026-05-17 03:33:34.410294
